,Unnamed: 0,keyword,date,text,score
0,0,ソーシャルワイヤー,Thu Feb 07 10:52:40 +0000 2019,今日は仕事前に割と低めにと思って指してた指値にガンガンに引っかかってて見たら暴落して焦ったけど、ある程度リバって１つ利確。そんで２つ少し含み損という結果に。持ち越しチームスピリット、エコモット、ソーシャルワイヤーです。ダウさんおきばりー #株式投資 #株,-2
1,1,ソーシャルワイヤー,Thu Feb 07 07:21:47 +0000 2019,ソーシャルワイヤー損切りしてJIA再in！今度は成功かな(*^.^*) https://t.co/vSvc6VScv3,1
2,2,ソーシャルワイヤー,Wed Feb 06 09:02:45 +0000 2019,引け乙です。SQ前の荒れる水曜日と身構えていましたが、指数は堅調でした。が、PFは大荒れですwエンカレッジ、インターアクションで大きく被弾。本日は明治電機を微益撤退し、ソーシャルワイヤー、グノシーを引け買い。明日か… https://t.co/JmgGyn50nW,0
3,3,ソーシャルワイヤー,Wed Feb 06 06:46:20 +0000 2019,監視してる21銘柄の始値、終値、高値、安値、出来高をエクセルで管理し、買値と売値を予習するようになってから、ソーシャルワイヤー以外いい感じでトレードできてる。#株式投資 #株,3
4,4,ソーシャルワイヤー,Wed Feb 06 06:43:47 +0000 2019,ソーシャルワイヤーだけちょっと持って取引終了（平均取得単価1230で含み損）アンドファクトリー売られてるから注目中。ログリーも売られてるから注目中。チームスピリットと、メドピアと、オークファンでデイトレ成功ちょい利確な一日でした。#株式投資 #株,2
5,5,ソーシャルワイヤー,Mon Feb 04 03:24:58 +0000 2019,前おつござる政忙しく、エムキャピ＆EAJが↑行ってやる気でずなんで上がるとポジりたくなるんやろ我慢我慢www波乗り上手な方が(*・ω・)ｳﾗﾔﾏｼｨ…ですのぉソーシャルワイヤーとかジグソーとか気になーるでは後場も,-1
6,6,ソーシャルワイヤー,Fri Feb 01 17:03:47 +0000 2019,ソーシャルワイヤー4qまでに買い戻したいけどチャンスあるかなあ。あとマルイをちゃんと調べる,2
7,7,ソーシャルワイヤー,Fri Feb 01 15:58:06 +0000 2019,【決算精査】 3929_ソーシャルワイヤー（１９年３月期＿３Ｑ決算） https://t.co/6WfPOVYmr8,0
8,8,ソーシャルワイヤー,Fri Feb 01 10:23:18 +0000 2019,ソーシャルワイヤーは下げるんですね。海外インキュベーションへの警戒ですかね。それか引当金とか？そもそも先行指数の枚数が落ちてるから失望とか？よくわからんですけど、ポイントは費用対効果が顧客に実感伴うか否かだと思ってますが、週末には記事を上げたいなと。せっかく週末にお話も出来たし。,1
9,9,ソーシャルワイヤー,Fri Feb 01 09:17:35 +0000 2019,無事にソーシャルワイヤーの方とお話出来ました。「決して発信者で振り分けてません(笑)」って言われてしまいました(笑)。それはともかく色々と理解が深まりました。頭悪いので色々とお話を伺わないと普通の人の理解に及ばないですし、何より楽しいです。投資先を応援する意味でもいいです。,6
