,Unnamed: 0,keyword,date,text,score
0,0,トレンダーズ,Thu Feb 07 12:58:49 +0000 2019,いま正直バズって調子悪いと思うんだよなぁ。トレンダーズとの違いとは。,0
1,1,トレンダーズ,Thu Feb 07 10:19:14 +0000 2019,フォロワー数17000人の方が６０６９　トレンダーズを推奨されてますが…✴買いの基本は日足です。,0
2,2,トレンダーズ,Thu Feb 07 10:13:44 +0000 2019,今日は下げ下げの日でしたね6069 トレンダーズ 継続保有してみます#myTrade https://t.co/0JcXlFVyAK,-2
3,3,トレンダーズ,Thu Feb 07 10:12:50 +0000 2019,RT @karauriNET: Deutsche Bank Londonの空売り残高(2/5)4335 アイ・ピー・エス -0.26%4572 カルナバイオサイエンス -0.03%4579 ラクオリア創薬 +0.04%4588 オンコリスバイオファーマ -0.41%…,-1
4,4,トレンダーズ,Thu Feb 07 10:09:26 +0000 2019,新規デュアルタップ870→820継続トレンダーズ1057お疲れ様です。本日場見れず。デュアルタップ逆指値で損切。TikTokトレンダーズ1000円キープで保有継続となりました。うーん三羽烏じゃ基本は売りですね(´… https://t.co/7sM42x5TxG,-1
5,5,トレンダーズ,Thu Feb 07 08:54:19 +0000 2019,RT @yama3662: 6069トレンダーズ   今日下げましたが今のところトレンドに変化はないと考えます https://t.co/kSyNy3qdgX,-1
6,6,トレンダーズ,Thu Feb 07 08:48:02 +0000 2019,お疲れさま。今日は前場で買いポジほぼ利確&amp;損切り。カラ入れたりバイオ触ったり。引け前のZOZOにも参加(΄◉◞౪◟◉｀)買い持ち越し東海カーボン1400円台は買います売り持ち越しFFRI、ディップ、トレンダーズ、システムインテグレータ。＃株,2
7,7,トレンダーズ,Thu Feb 07 08:02:00 +0000 2019,モルガン・スタンレーMUFGの空売り残高(2/6)6064 アクトコール +0.05%6069 トレンダーズ +0.33%6101 ツガミ -0.06%6141 DMG森精機 +0.07%6532 ベイカレント・コンサ… https://t.co/DoK00ir3ZX,-1
8,8,トレンダーズ,Thu Feb 07 07:52:00 +0000 2019,Deutsche Bank Londonの空売り残高(2/5)4335 アイ・ピー・エス -0.26%4572 カルナバイオサイエンス -0.03%4579 ラクオリア創薬 +0.04%4588 オンコリスバイオファーマ… https://t.co/6Qrkk643ef,-1
9,9,トレンダーズ,Thu Feb 07 07:44:25 +0000 2019,@omatsurisawag63 私もトレンダーズ1007-1017円でインしておりました。黒三兵がこのラインで出てると危ないですかね。。考慮できてなかったー。明日の値動き注視します。,0
10,10,トレンダーズ,Thu Feb 07 07:18:24 +0000 2019,◆リクルート出身経営者企業◆じげんイトクロセプテーニインテリジェンスマクロミルnanapiKAIZEN platformリンクアンドモチベーショントレンダーズキャリアデザインセンター#就活 #就職活動 #面接 #shukatsu,1
11,11,トレンダーズ,Thu Feb 07 07:09:53 +0000 2019,RT @seigo77: 6069 トレンダーズBytedance社とTikTokの広告パートナーシップ契約を締結と発表。もともと人気株だが、ここで600円台から短期で1000円突破となった。一度調整の可能性もあるが、引き続き動きをマークしたい株となる。,3
12,12,トレンダーズ,Thu Feb 07 06:55:48 +0000 2019,20190207通し11位 6069 トレンダーズ出来高率12.30%(出来高率前日比1.43%)出来高率前日順位15位株価前日比-4.28%https://t.co/7LUNd0Jlsa,1
13,13,トレンダーズ,Thu Feb 07 06:54:53 +0000 2019,6069 トレンダーズBytedance社とTikTokの広告パートナーシップ契約を締結と発表。もともと人気株だが、ここで600円台から短期で1000円突破となった。一度調整の可能性もあるが、引き続き動きをマークしたい株となる。,3
14,14,トレンダーズ,Thu Feb 07 06:54:53 +0000 2019,６０６９Ｍ　トレンダーズ　　１００７▼４５　　９１６．６　続伸の可能性あり。パピレス同様に、有名投資家が強気したことがある株。さらに戻りありそうなチャートでもある。SNS支援の会社。ショートムービーアプリ「TikTok」専門のマーケティング部署を設立。,2
15,15,トレンダーズ,Thu Feb 07 06:50:37 +0000 2019,今日のトレード（＋3000）・太陽誘電100 （＋3000円）持ち越しUUUM、トレンダーズ、伊藤忠商事（各100株）地合い悪い中、SBGとサンバイオで儲けた人、素直にすごいです。勉強になりました。,1
16,16,トレンダーズ,Thu Feb 07 06:46:25 +0000 2019,引け乙ですー今日の前場はソフトバンクの出来高多いことを理由に朝から2回転。早売りでちょい益。トレンダーズの1000円玉が同値でついに旅立ち💸そのあとダブルボトム形成したから1007円で再エントリーするもまたも同値撤退… https://t.co/WKGfnQiZ68,1
17,17,トレンダーズ,Thu Feb 07 06:39:10 +0000 2019,#トレンダーズ @1000割れは持越し。私は売りでインしてましたが、この@1250の板！笑。2度目の1000からの戻し上げ中に登場。コレは買いへの安心感狙いの売り方が置いたモノと捉えた方が良いですね？さも売り方が諦めて買い戻したい… https://t.co/BezWHqtWei,2
18,18,トレンダーズ,Thu Feb 07 06:28:41 +0000 2019,しごおわ今日はイーソル100円幅の利益+2万狙ったところまで落ちてきたのが良かったですブラパは278円より上なら買いという注文を出してたら…なんと約定して300円台になってる！まぁバイオなので様子見ながら保持ト… https://t.co/sC3Jz9cl59,2
19,19,トレンダーズ,Thu Feb 07 06:24:19 +0000 2019,本日の株価動向①スクロール、続落値幅は小さいが、5日線に抑えられている。トレンダーズ、続落1000円台は維持。ショートの資金が抜けてきているのか。きちり、反発こちらも値幅が小さい。5日線上は維持。ソースネクス… https://t.co/LjVycLlrhe,-2
20,20,トレンダーズ,Thu Feb 07 06:17:07 +0000 2019,RT @yama3662: 6069トレンダーズ   今日下げましたが今のところトレンドに変化はないと考えます https://t.co/kSyNy3qdgX,-1
21,21,トレンダーズ,Thu Feb 07 06:05:48 +0000 2019,引けおつー。kudan、ソフバン、グレイスなどしてトータルプラス٩(^‿^)۶ゾゾ買うの躊躇して乗れんかったわw持ち越し変わらず。イーエム、アクセス、バーチャ、住友製薬、あとクソ株wトレンダーズあたり狙ってみよかな。まあまた明日でー。おつでしたー。,2
