,Unnamed: 0,keyword,date,text,score
0,0,ドリームインキュベータ,Thu Feb 07 13:36:23 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
1,1,ドリームインキュベータ,Thu Feb 07 11:52:29 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
2,2,ドリームインキュベータ,Thu Feb 07 11:11:56 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
3,3,ドリームインキュベータ,Thu Feb 07 08:07:12 +0000 2019,"【コンサル略称】（）内は読み方TC→Tohmatsu Consulting Co., Ltd（トーマツ）ATK→A.T. kearney（カーニー）DI→Dreamincubator（ドリームインキュベータ）AC→Accenture（エーシー、アクセンチュア）",0
4,4,ドリームインキュベータ,Thu Feb 07 06:10:36 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
5,5,ドリームインキュベータ,Thu Feb 07 05:59:00 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
6,6,ドリームインキュベータ,Thu Feb 07 03:51:31 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
7,7,ドリームインキュベータ,Thu Feb 07 03:45:58 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
8,8,ドリームインキュベータ,Thu Feb 07 03:12:06 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
9,9,ドリームインキュベータ,Thu Feb 07 01:53:53 +0000 2019,RT @tosyokainoouzi: ウチは安い！もっと企業価値がある！って決算説明会でスライドに入れた企業ソフトバンクグループSBIホールディングスGMOインターネットドリームインキュベータ https://t.co/hJxfI6bbke,1
