,Unnamed: 0,keyword,date,text,score
0,0,ブルボン,Thu Feb 07 17:53:57 +0000 2019,@_white_rabbits_ ブルボン最強の刺客！！！！,0
1,1,ブルボン,Thu Feb 07 17:48:45 +0000 2019,ブルボンから贅沢な味わいのホワイトチョコ『レーズンラッシュ』&lt;b&gt;新発売&lt;/b&gt;へ https://t.co/9X0Erq5JV7,0
2,2,ブルボン,Thu Feb 07 17:35:23 +0000 2019,ブルボンさんに感謝のお手紙だしたいくらいに好きなんだけどほんとに売ってる店舗に出会えない,2
3,3,ブルボン,Thu Feb 07 17:19:50 +0000 2019,RT @Henken_Rekishi: 覚えよう！世界史1589年　ブルボン朝成立1689年　名誉革命1789年　フランス革命1889年　大日本帝国憲法発布1989年　ベルリンの壁崩壊,-1
4,4,ブルボン,Thu Feb 07 17:16:25 +0000 2019,覚えよう！世界史1589年　ブルボン朝成立1689年　名誉革命1789年　フランス革命1889年　大日本帝国憲法発布1989年　ベルリンの壁崩壊,-1
5,5,ブルボン,Thu Feb 07 17:06:16 +0000 2019,RT @ziku_0: 代々木八幡にある365日のカヌレ。やっと会えた…タイミングが合わず何度フラれたことか。諦めずに通い続けた甲斐がありました！ブルボンバニラとカルバドスのリッチな香りが特徴的です。すこし小ぶりで中も含めて固めの食感。たしかに噂に聞いた通り高クオリティ。…,3
6,6,ブルボン,Thu Feb 07 16:53:10 +0000 2019,RT @TwitFukuoka: ブルボンから贅沢な味わいのホワイトチョコ『レーズンラッシュ』新発売へ → https://t.co/iTFa7hH4X9 https://t.co/OP4PTiY0lv,0
7,7,ブルボン,Thu Feb 07 16:50:25 +0000 2019,ブルボン朝と直接くらいから攻めなきゃ無理,0
8,8,ブルボン,Thu Feb 07 16:46:42 +0000 2019,大阪に遊びに行って、ブルボン飲みに行って、ViViDに飲みにいって、最終ゼロワン👏安定すぎる（笑）9日連続できとるし、そろぼちやばい(´-∀-`),1
9,9,ブルボン,Thu Feb 07 16:26:45 +0000 2019,@y_y21arashi ありがとう🥰🥰ブルボンでもぼんちゃんでも呼びやすいように呼んでやって～！\( ˆoˆ )/,0
10,10,ブルボン,Thu Feb 07 16:26:10 +0000 2019,RT @TwitFukuoka: ブルボンから贅沢な味わいのホワイトチョコ『レーズンラッシュ』新発売へ → https://t.co/iTFa7hH4X9 https://t.co/OP4PTiY0lv,0
11,11,ブルボン,Thu Feb 07 16:22:02 +0000 2019,RT @Bourbon_JP: SNSで話題のクリエイター「1/87底辺サラリーマン（@minitoru87）」さんに #ブルボン の #レザンヌ でミニチュアアートの世界を作ってもらったよ♬作品名は『クッキーにクリームとレーズンを乗せてレザンヌを作るブルボン作業員』👨🏻‍🌾…,2
12,12,ブルボン,Thu Feb 07 16:17:19 +0000 2019,@akula137 公式からしてチームスピカ組が妙なところにいるので多少のゆがみは許してくれると思うのですが、メイクデビュードラマだとスズカとブルボンが同じクラスでトウカイテイオーがミホノブルボン先輩って呼んでたりも。もう「うちの世界じゃこうなんだよ！」って割り切るしかないｗ,-1
13,13,ブルボン,Thu Feb 07 16:17:15 +0000 2019,RT @sigo_kun: 「女性自身」のイラスト仕事。ブルボン小林さんの連載「有名人（あのひと）が好きって言うから…」今回の書評は田中圭の愛読書『毎日が冒険』。田中圭さんの「普通さ」は似顔絵にするのがむずかしかったです。 https://t.co/82GyPgyFFv,1
14,14,ブルボン,Thu Feb 07 16:14:22 +0000 2019,@Tapentain ブルボンのですか！？近所！？！？,0
15,15,ブルボン,Thu Feb 07 16:12:37 +0000 2019,RT @Bourbon_JP: SNSで話題のクリエイター「1/87底辺サラリーマン（@minitoru87）」さんに #ブルボン の #レザンヌ でミニチュアアートの世界を作ってもらったよ♬作品名は『クッキーにクリームとレーズンを乗せてレザンヌを作るブルボン作業員』👨🏻‍🌾…,2
16,16,ブルボン,Thu Feb 07 16:07:51 +0000 2019,RT @TwitFukuoka: ブルボンから贅沢な味わいのホワイトチョコ『レーズンラッシュ』新発売へ → https://t.co/iTFa7hH4X9 https://t.co/OP4PTiY0lv,0
17,17,ブルボン,Thu Feb 07 16:02:58 +0000 2019,"ウマ娘と競走馬「ライスシャワー」を追想するシリーズ、完結。良い話だった……。でもライスちゃん、異性との交遊などお兄さまは認めませんよ！！後日譚 ミホノブルボンと""あの資料""・エピローグ | キューイン #pixiv https://t.co/7OueLFliNg",2
