,Unnamed: 0,keyword,date,text,score
0,0,ムサシ,Thu Feb 07 18:36:51 +0000 2019,ムサシとコジロウでお送りいたしましたっ！,0
1,1,ムサシ,Thu Feb 07 18:35:17 +0000 2019,RT @s_resist_pr: 【新アクタ紹介】★5【天香桂花】ムサシ（CV:櫻井 孝宏）成家 慎一郎先生による完全描きおろしで登場！敵味方全体に効果を及ぼす豪快なスキルを持っています！現在開催中の『大輪の狂華ガチャ』にて、出現率UP中です！#シンエンレジスト…,5
2,2,ムサシ,Thu Feb 07 18:13:07 +0000 2019,この愚脳で悪政の限り行い国民ダマしに際限がない、心底性根が腐っている人物。国民を恐れない、なぜか？。必ず勝つ衆参選挙、ねつ造投票集計・ねつ造世論調査・ねつ造投票率の連動操作をムサシで勝利を作る。この大犯罪いつまで出来るか、。,-1
3,3,ムサシ,Thu Feb 07 18:05:44 +0000 2019,ムサシ「髪が、長くて、赤い、セイバーが、いるらしい」,0
4,4,ムサシ,Thu Feb 07 17:52:39 +0000 2019,RT @purimeow: 毛づくろいをするムサシくん#東山動植物園#サーバルキャット#サーバル#ムサシ https://t.co/PN8uh86jef,0
5,5,ムサシ,Thu Feb 07 17:43:18 +0000 2019,RT @pom_pomta: 触れた後で、ムサシの「髪は女の命」って言葉をハッと思い出して、「ごめんなセレナっ」って言いながら慌てて放すサトシ( ◜௰◝ ),1
6,6,ムサシ,Thu Feb 07 17:42:16 +0000 2019,それぞれ感想1→卵焼きのくだりが好き2→100億万円3→マジで小鳥遊寮の母4→王様プリンが全ての原動力5→とりがー好きなとこかわいい6→みんなのこと大好きなんだね…7→ムサシと戯れてるの可愛い〜,4
7,7,ムサシ,Thu Feb 07 17:32:14 +0000 2019,ムサシを覚醒させるか迷ってる。アディスくんを覚醒させたいから。二人ともなんで刀使いなの,0
8,8,ムサシ,Thu Feb 07 17:30:42 +0000 2019,触れた後で、ムサシの「髪は女の命」って言葉をハッと思い出して、「ごめんなセレナっ」って言いながら慌てて放すサトシ( ◜௰◝ ),1
9,9,ムサシ,Thu Feb 07 17:30:34 +0000 2019,コジロウ「それでは！ピカチュウゲット成功を祝って！」ムコニ「かんぱぁぁい！」ピカ「ヂュウウウウウ！・・・ピィカ・・・」ムサシ「ムダムダｗｗむだだってぇｗｗ」サトシ「あ、いたぞ！ロケット団！！」ムコニ「げげ！ジャリボーイ！」,-2
10,10,ムサシ,Thu Feb 07 17:28:57 +0000 2019,あーら？　ムサシとコジロウじゃない？　随分また派手にやられたわね～,0
11,11,ムサシ,Thu Feb 07 17:16:02 +0000 2019,ムサシ「『林と森の違いがはっきりしない』みたいな話になって、辞書でまず『ハヤシ』を調べ出す犬ちゃん。そのあと、脳内で二つの単語が混ざり合ったのか『モヤシ』を調べる犬ちゃん。それで今３分ぐらいうんうん唸ってる。かわいすぎる。死にたくない」,0
12,12,ムサシ,Thu Feb 07 16:59:49 +0000 2019,錦龍馬これがわしの戦国武神ムサシだ,0
13,13,ムサシ,Thu Feb 07 16:57:08 +0000 2019,RT @TEZUKA_goods: クオリティにこだわったMade in Japanのムサシジーンズからブラック・ジャックのコラボデニムが発売になりました！2月1日からモノ・ショップにて限定50本先行発売。3月1日から一般発売を開始します。まずはmonoマガジンをチェックして…,0
14,14,ムサシ,Thu Feb 07 16:44:12 +0000 2019,RT @s_resist_pr: 【新アクタ紹介】★5【天香桂花】ムサシ（CV:櫻井 孝宏）成家 慎一郎先生による完全描きおろしで登場！敵味方全体に効果を及ぼす豪快なスキルを持っています！現在開催中の『大輪の狂華ガチャ』にて、出現率UP中です！#シンエンレジスト…,5
15,15,ムサシ,Thu Feb 07 16:40:46 +0000 2019,RT @OC43448416: ムサシコジロウ範馬勇次郎 https://t.co/T9ILWFkOSp,0
