,Unnamed: 0,keyword,date,text,score
0,0,レーザーテック,Thu Feb 07 09:09:51 +0000 2019,第55回株式セミナー開催決定！2月16日13時～15時　東京証券会館　無料　03-5695-5681　12月にセミナーで紹介したＧＭＯペパボが大暴騰！！　レーザーテックも大暴騰！　次はこれだ！！ https://t.co/3KtHDmIRoo,-1
1,1,レーザーテック,Thu Feb 07 08:49:41 +0000 2019,RT @shinri_bi: @yokowakefes 7日東証1部・75日線かい離ランキング乖離(%) 01 ガンホー・オンライン 36.07 02 レーザーテック 32.65 03 ＴＯＫＹＯＢＡＳＥ 31.04 04 デジタルアーツ 30.20 05 メンバーズ…,-2
2,2,レーザーテック,Thu Feb 07 08:49:25 +0000 2019,@yokowakefes 7日東証1部・75日線かい離ランキング乖離(%) 01 ガンホー・オンライン 36.07 02 レーザーテック 32.65 03 ＴＯＫＹＯＢＡＳＥ 31.04 04 デジタルアーツ 30.20… https://t.co/JXY4wMNxX9,-2
3,3,レーザーテック,Thu Feb 07 07:53:00 +0000 2019,Deutsche Bank Londonの空売り残高(2/5)6222 島精機製作所 +0.03%6235 オプトラン 0.53% 再IN6366 千代田化工建設 -0.04%6577 ベストワンドットコム +0.1%… https://t.co/6rP1yG1ckT,-1
4,4,レーザーテック,Thu Feb 07 07:51:07 +0000 2019,6920 レーザーテック　陽線3本＋ポイントは窓あり、ストキャスk％下落。－ポイントは雲上抜け後、好決算上げ。昨日のアンリツを反省して好決算空売りしなかったお|дﾟ)ｼﾞｰ陽線引け、避けてよかったお((( ；ﾟ… https://t.co/vku9RCTml2,2
5,5,レーザーテック,Thu Feb 07 06:15:38 +0000 2019,【７日引け味の良い銘柄】3457ハウスドゥ 4544みらかＨＤ 6541グレイステクノロジー 6861キーエンス 6871マイクロニクス 6920レーザーテック 7270ＳＵＢＡＲＵ 7595アルゴグラフ 7701島津製 フジシー… https://t.co/BOmGMlVnPv,2
6,6,レーザーテック,Thu Feb 07 05:10:36 +0000 2019,今日は絶好のゴルフ日和だったな。今日は来週以降に期待して総医研集めてレーザーテックの利確のみ。ゴルフ場からでも取引できる内容だった。お疲れさまでした。,2
7,7,レーザーテック,Thu Feb 07 03:57:22 +0000 2019,アンリツ、レーザーテックあたりは、もう完全に壊れているレベルだな。ここからレーティングでさらにぶち上げるんだろうか。。,1
8,8,レーザーテック,Thu Feb 07 02:47:00 +0000 2019,2/6 逆日歩日数 1日6908 イリソ電子工業 0.10円6920 レーザーテック 0.10円6923 スタンレー電気 0.10円6926 岡谷電機産業 0.05円6951 日本電子 0.05円6961 エンプラス… https://t.co/aC52Wu9NJy,0
9,9,レーザーテック,Thu Feb 07 02:46:42 +0000 2019,前場コメント No.13　レーザーテック、マイクロニクス、西尾レントオール、ミネベアミツミ、日本冶金工業など（トレーダーズ・ウェブ） https://t.co/qdcCNnFo1C,0
10,10,レーザーテック,Thu Feb 07 02:45:22 +0000 2019,6920レーザーテックダブルボトム と macd ゴールデンクロス間近！w https://t.co/vi7GY1y1hX,0
11,11,レーザーテック,Thu Feb 07 02:37:32 +0000 2019,3626 TIS JPモルガン Overweight継続 5700円→6100円 6750 エレコム 野村 Buy継続 3400円→3600円 6920 レーザーテック 野村 Buy継続 4998円→5368円 6920 レ… https://t.co/nXJTvlZM1x,0
12,12,レーザーテック,Thu Feb 07 02:32:01 +0000 2019,【国内】前場コメント No.13　レーザーテック、マイクロニクス、西尾レントオール、ミネベアミツミ、日本冶金工業など https://t.co/8W5hf5mQSA,0
13,13,レーザーテック,Thu Feb 07 01:54:19 +0000 2019,6920レーザーテックmacd  ゴールデンクロス期待 https://t.co/qJJJs1DnBX,1
14,14,レーザーテック,Thu Feb 07 01:49:35 +0000 2019,レーザーテック プラテン！w,0
15,15,レーザーテック,Thu Feb 07 01:31:03 +0000 2019,8056 日本ユニシス6920 レーザーテック入ってみたレーザーテックはレーティング出てる https://t.co/f1gkD1lQqK,0
16,16,レーザーテック,Thu Feb 07 00:29:53 +0000 2019,ロックオンが上がるとレーザーテックも上がる🤔レーザー　→　ロックオン　→　ドーンちょと違う。。,0
17,17,レーザーテック,Thu Feb 07 00:25:11 +0000 2019,レーザーテック　なんやかんや高値　4325,1
18,18,レーザーテック,Wed Feb 06 23:07:27 +0000 2019,✴︎2228 シベール2385 総医研2484 夢の街2491 バリューコマース3758 アエリア3966 ユーザベース3990 ＵＵＵＭ4563 アンジェス4588 オンコリスバイオ4592 サンバイオ606… https://t.co/Vergzbm3uT,0
19,19,レーザーテック,Wed Feb 06 20:11:24 +0000 2019,2/7のデイトレ注目銘柄2228 シベール2385 総医研2484 夢の街2491 バリューコマース3758 アエリア3966 ユーザベース3990 ＵＵＵＭ4563 アンジェス4588 オンコリスバイオ459… https://t.co/SmBxo2D3Oc,0
20,20,レーザーテック,Wed Feb 06 15:04:11 +0000 2019,でもまぁ今日は主力が顕著で良かった(嬉レーザーテックは少し乖離が大きくなって来たし、ほぼほぼ目標価格まで来たので半分利食い！ワークマンは想定通りの好決算！(持ってないwでも分割とか優待とかサプライズは無かったなぁ下げるなら買ってもいいけどGUなら見送りかな,0
21,21,レーザーテック,Wed Feb 06 14:11:17 +0000 2019,"【アナリスト評価】レーザーテック、レーティング強気を継続、目標株価5,368円に引上げ（日系大手）(アイフィス株予報) - ニュース・コラム - Yahoo!ファイナンス https://t.co/4tKBexPZtR",1
22,22,レーザーテック,Wed Feb 06 13:53:06 +0000 2019,RT @Teiougaku1: 半導体株の上昇が続いています。IoT、5G、AI等を背景とした需要拡大が始まっているようです。本年の半導体業界のキーワードは「EUVリソグラフィ 」といわれています。関連銘柄としてアドバンテスト、レーザーテック、ホロン等が挙げられます。ht…,2
23,23,レーザーテック,Wed Feb 06 13:42:13 +0000 2019,弱小200万円トレーダーがマジで使っている手法 : 2/6 勝 レーザーテック 他ZOZO、ネクソンhttps://t.co/OdelsDl61v,-1
24,24,レーザーテック,Wed Feb 06 12:52:16 +0000 2019,半導体株の上昇が続いています。IoT、5G、AI等を背景とした需要拡大が始まっているようです。本年の半導体業界のキーワードは「EUVリソグラフィ 」といわれています。関連銘柄としてアドバンテスト、レーザーテック、ホロン等が挙げら… https://t.co/S0bwFRFkH0,2
25,25,レーザーテック,Wed Feb 06 10:35:02 +0000 2019,【売りシグナル多数銘柄】(2/6)売り9指標…[3189]ＡＮＡＰ売り9指標…[5217]テクノクオーツ売り8指標…[6193]バーチャレクス・ホールディングス売り8指標…[6920]レーザーテック https://t.co/IWRy3G7Aet,0
26,26,レーザーテック,Wed Feb 06 09:44:36 +0000 2019,カタリスト投資の具体例を直近事例で出しておくと、6920レーザーテック。2/4に前期比売上61%、営利57%の伸びの決算。これはどの程度の株価インパクトかというと60%くらいだろうと考えていいです。,3
27,27,レーザーテック,Wed Feb 06 08:54:01 +0000 2019,モルガン・スタンレーMUFGの空売り残高(2/5)6064 アクトコール -0.18%6141 DMG森精機 +0.13%6619 ダブル・スコープ -0.11%6702 富士通 -0.09%6727 ワコム -0.0… https://t.co/YIwNeyrQPV,-1
28,28,レーザーテック,Wed Feb 06 08:38:54 +0000 2019,今日のトレード持ち越しSUMCO利確+14000レーザーテック寄りから200株+18000ドル円ショート+9000現ポジサンバイオ200株持ち越し含み益ドル円ショート109.80から3枚豪ドルショート78.39… https://t.co/vf9TtrSZcY,3
29,29,レーザーテック,Wed Feb 06 06:26:44 +0000 2019,レーザーテック、今日も上がったな。プラス4.7%か。,1
30,30,レーザーテック,Wed Feb 06 05:26:25 +0000 2019,明日レーザーテック出るよ〜！ https://t.co/8o3iDZq29C,1
31,31,レーザーテック,Wed Feb 06 04:41:51 +0000 2019,6920 レーザーテック、買い。「公式」投資の達人厳選株 https://t.co/3pgzDko3eE,2
32,32,レーザーテック,Wed Feb 06 04:11:23 +0000 2019,HIOKIはBOX上限揉みあいレーザーテックは完全に上抜けたので放置して利を伸ばしたいCS＝キューブシステムは今日から自社株買い、どうやらやってるぽい？強いのでしっかり利益伸ばす(｀・ω・´)ｷﾘｯ小型だと昨日書いた環〇〇〇がまた曲げて逝った🙄,5
