,Unnamed: 0,keyword,date,text,score
0,0,一正蒲鉾,Thu Feb 07 18:29:53 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
1,1,一正蒲鉾,Thu Feb 07 18:29:18 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
2,2,一正蒲鉾,Thu Feb 07 18:27:56 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
3,3,一正蒲鉾,Thu Feb 07 18:27:37 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
4,4,一正蒲鉾,Thu Feb 07 18:25:12 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
5,5,一正蒲鉾,Thu Feb 07 18:24:56 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
6,6,一正蒲鉾,Thu Feb 07 18:19:58 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
7,7,一正蒲鉾,Thu Feb 07 18:15:28 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
8,8,一正蒲鉾,Thu Feb 07 18:12:36 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
9,9,一正蒲鉾,Thu Feb 07 18:09:06 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
