,Unnamed: 0,keyword,date,text,score
0,0,協和発酵キリン,Thu Feb 07 15:49:37 +0000 2019,ほら、こんなところにまで…協和発酵キリンと鳥居薬品でリストラ発表！国内中堅メーカーにも早期退職の波が押し寄せる！ https://t.co/5p1gz0snfQ,-1
1,1,協和発酵キリン,Thu Feb 07 15:21:20 +0000 2019,RT @answers_news: 協和発酵キリンが希望退職者を募集。45歳以上かつ勤続5年以上の社員（生産本部は除く）で、募集上限は定めず。https://t.co/DU37MxNUNk,1
2,2,協和発酵キリン,Thu Feb 07 12:23:17 +0000 2019,★放射能汚染と株価★の関係（メディカル）NAVERまとめhttps://t.co/Icdeop7KuE「協和発酵キリン」心筋梗塞治療剤イノバン等を提供セシウム汚染と「急性心筋梗塞」多発地帯の因果関係を宝島が報じるhttps://t.co/s4lXJg2Pts,-5
3,3,協和発酵キリン,Thu Feb 07 08:13:40 +0000 2019,ヒェッ…😨でも協和発酵キリンのHPにはちゃんと掲載されてるんだけど💦https://t.co/S6FwjuZLyb https://t.co/YJzUUCmVOD,1
4,4,協和発酵キリン,Thu Feb 07 08:07:52 +0000 2019,協和キリン　希望退職者を募集　グローバル体制向け構造改革、人材入れ替え 協和発酵キリンは２月５日、希望退職者の募集を行うと発表した。 https://t.co/hTh7blaIJM,2
5,5,協和発酵キリン,Thu Feb 07 08:02:32 +0000 2019,協和発酵キリン、2020年コア営業利益1000億円の達成に遅れ https://t.co/I9uYcxTVPQ,1
6,6,協和発酵キリン,Thu Feb 07 04:19:56 +0000 2019,4151 協和発酵キリン、売り。東京大学と共同で特許取得-糖尿病患者が注目の新成分とは https://t.co/3pgzDko3eE,-2
7,7,協和発酵キリン,Thu Feb 07 04:10:13 +0000 2019,RT @answers_news: きのうの協和発酵キリンに続き、鳥居薬品も希望退職を募集。上限は定めず。対象は、コーポレート部門・営業部門→勤続2年以上、技術部門→勤続2年以上かつ50歳以上。https://t.co/Czm7cXpDAp,2
8,8,協和発酵キリン,Thu Feb 07 04:10:03 +0000 2019,協和発酵キリン 2018年12月期 決算説明会 (HTML5)を配信しています。https://t.co/veFmlaRMF9,0
9,9,協和発酵キリン,Thu Feb 07 02:23:44 +0000 2019,RT @Logomarket_jp: 協和発酵キリン株式会社CIロゴタイプ変更。大文字と小文字が組み合わされる表現は、確かさと柔軟性、優しさとたくましさ、使命感と慈しみのイメージと、豊かなダイバーシティを示しています。＃ロゴ　＃ロゴマークhttps://t.co/NltZL…,4
