,Unnamed: 0,keyword,date,text,score
0,0,日本アンテナ,Thu Feb 07 18:17:46 +0000 2019,miniVNA Pro2 を発注した! （家族には秘密 wwwww）今年はトランス巻くぞ。アンテナ作るぞ！あ、ちなみに日本で買うより、ドイツのお店に発注したほうが格段に安く買えますよ。,0
1,1,日本アンテナ,Thu Feb 07 17:44:15 +0000 2019,イギリスに限らず、日本以外で美味しいお店を探すアンテナを鍛えるのが大変というのがあります。というか日本ではハズレを除外すれば美味しいもんずるいよ。,-1
2,2,日本アンテナ,Thu Feb 07 16:34:40 +0000 2019,武士猫のアンテナ魂 : 【怖すぎ】「日本アニメは若者を堕落させる」ロシアの暴徒がアニメイベントを襲撃→警察も「LGBTの集いだ」と一緒になり侮辱https://t.co/y1c1uAtA6F,0
3,3,日本アンテナ,Thu Feb 07 16:20:30 +0000 2019,「6年後にまで韓国産海苔の輸入を倍増させる」と日本政府が韓国に約束　中国産にも劣る信頼性だ まとめアンテナZ https://t.co/boGdocj7d0 https://t.co/36NqBHC5Z2,0
4,4,日本アンテナ,Thu Feb 07 16:04:07 +0000 2019,RT @oohanabi2006: 明日の監視銘柄（08日）上伸途上の～8929青山財産←かなり良い6930日本アンテナ←いまいち3189ANAP←出来高NG以上その他7105三菱ロジス←上十字4592サンバイオ←放れ七手の変化底★（買い）サンバイオが放れ…,0
5,5,日本アンテナ,Thu Feb 07 15:17:51 +0000 2019,RT @MUGI1208: お、このサービス入れたんだ。確かタグを付けとくと、自分のスマホだけでなく、他の人のスマホや、アンテナを経由して、どこにあるか分かるようになるんだよね。→JR東日本、紛失防止タグMAMORIOを本格導入　51駅にアンテナ設置 - Engadget…,1
6,6,日本アンテナ,Thu Feb 07 15:06:33 +0000 2019,RT @eight_keikei: 日本アンテナ、3桁で追加。みんな買ったよね！,0
7,7,日本アンテナ,Thu Feb 07 15:03:57 +0000 2019,RT @MUGI1208: お、このサービス入れたんだ。確かタグを付けとくと、自分のスマホだけでなく、他の人のスマホや、アンテナを経由して、どこにあるか分かるようになるんだよね。→JR東日本、紛失防止タグMAMORIOを本格導入　51駅にアンテナ設置 - Engadget…,1
8,8,日本アンテナ,Thu Feb 07 15:03:04 +0000 2019,【悲報】日本の公務員の給料、異常なほど高給だった https://t.co/0TqCvPlygWブックマークして、暇つぶしに使ってください！『にわかアンテナ』 https://t.co/LvgjjLuclT,-1
9,9,日本アンテナ,Thu Feb 07 14:58:05 +0000 2019,ANAP +2日本アンテナ GDアンジェス -15青山財産 -31-2/27-18-16/+124 https://t.co/hXjaAeNrny,0
10,10,日本アンテナ,Thu Feb 07 14:52:00 +0000 2019,JR東日本、紛失防止タグMAMORIOを本格導入　51駅にアンテナ設置 - Engadget 日本版 https://t.co/464dOboABK,1
11,11,日本アンテナ,Thu Feb 07 14:47:16 +0000 2019,日本からこういう話が出ないのは、やはりアンテナが低いと言わざるを得ない。→グーグルがWikipediaへの支援を拡大、そこには「将来の利益」を見据えた戦略があった (WIRED) - LINEアカウントメディア… https://t.co/7kOFS4PFGO,4
12,12,日本アンテナ,Thu Feb 07 14:13:56 +0000 2019,2月7日　高値更新　13銘柄(株)テクノ菱和デジタルアーツ(株)ＳＢＳホールディングス(株)(株)Ｊ−オイルミルズトシン・グループ(株)(株)ＷＤＩＧＭＯペパボ(株)オリコン(株)インスペック(株)アンリツ(… https://t.co/KI9jeqevqF,10
13,13,日本アンテナ,Thu Feb 07 14:05:20 +0000 2019,明日の監視銘柄（08日）上伸途上の～8929青山財産←かなり良い6930日本アンテナ←いまいち3189ANAP←出来高NG以上その他7105三菱ロジス←上十字4592サンバイオ←放れ七手の変化底★（買い）サン… https://t.co/3rpU7vyT59,0
14,14,日本アンテナ,Thu Feb 07 13:37:25 +0000 2019,すごい！すごい！toBもあるかとは思っていたけど、こんなインフラ化が進んでいるとは、斜め上でしたJR東日本、紛失防止タグMAMORIOを本格導入　51駅にアンテナ設置 - Engadget 日本版 https://t.co/cvFhzEsbEi,1
15,15,日本アンテナ,Thu Feb 07 13:22:07 +0000 2019,日本政府「韓国が日本企業の差し押さえをしたら、対抗措置をとる」 https://t.co/dhEG9s6A2h アンテナバンク,-1
16,16,日本アンテナ,Thu Feb 07 13:21:10 +0000 2019,@yukiki555 コユキちゃん、日本に帰れる時期が限られているものね💦そっか〜、名古屋で何かあったの？😅クリムトって、私のアンテナが低いせいもあるのだけど、欧州でもそこらじゅうにあるわけではないよね？昨年はパリで、デジタル… https://t.co/BUmbw5hhlN,0
17,17,日本アンテナ,Thu Feb 07 13:16:34 +0000 2019,昨日のストップ高の時点で気づくべきだったね。santecのしけた動きを見て途方に暮れてる暇あったら日本アンテナが何故上がってるか少しは調べろよと昨日の自分に言いたい,1
18,18,日本アンテナ,Thu Feb 07 12:47:13 +0000 2019,RT @eight_keikei: 日本アンテナ、3桁で追加。みんな買ったよね！,0
19,19,日本アンテナ,Thu Feb 07 12:45:48 +0000 2019,日本アンテナ、3桁で追加。みんな買ったよね！,0
20,20,日本アンテナ,Thu Feb 07 12:44:31 +0000 2019,RT @MUGI1208: お、このサービス入れたんだ。確かタグを付けとくと、自分のスマホだけでなく、他の人のスマホや、アンテナを経由して、どこにあるか分かるようになるんだよね。→JR東日本、紛失防止タグMAMORIOを本格導入　51駅にアンテナ設置 - Engadget…,1
