,Unnamed: 0,keyword,date,text,score
0,0,Ａｂａｌａｎｃｅ,Thu Feb 07 17:00:17 +0000 2019,#Findabalance #MentalHealthMatters #mentalhealth #MentalHealthAwareness #selfhelp #selflove https://t.co/ZLvmJBERuf,0
1,1,Ａｂａｌａｎｃｅ,Thu Feb 07 13:35:34 +0000 2019,"RT @SchSocEnt: Meet Samantha, the founder of @Find_AbalanceThis London-based social enterprise provides bespoke #mentalhealth support for…",0
2,2,Ａｂａｌａｎｃｅ,Thu Feb 07 12:27:04 +0000 2019,"RT @SchSocEnt: Meet Samantha, the founder of @Find_AbalanceThis London-based social enterprise provides bespoke #mentalhealth support for…",0
3,3,Ａｂａｌａｎｃｅ,Thu Feb 07 12:23:04 +0000 2019,"Meet Samantha, the founder of @Find_AbalanceThis London-based social enterprise provides bespoke #mentalhealth su… https://t.co/kGjmW4w1w3",0
4,4,Ａｂａｌａｎｃｅ,Thu Feb 07 10:19:36 +0000 2019,Una vez estaba en una plaza con una chiquilla con la que salía y llego un labrador hermoso con una piedrita en su h… https://t.co/YZxs7WAsbH,0
5,5,Ａｂａｌａｎｃｅ,Thu Feb 07 08:00:07 +0000 2019,#Findabalance #MentalHealthMatters #mentalhealth #MentalHealthAwareness #selfhelp #selflove https://t.co/9x40LU2qkw,0
6,6,Ａｂａｌａｎｃｅ,Wed Feb 06 23:44:13 +0000 2019,Abalance：んー、、、、、,0
7,7,Ａｂａｌａｎｃｅ,Wed Feb 06 19:01:44 +0000 2019,What are you most proud of in your life?#QuestionItChallenge#MindfulBusinessAcademyhttps://t.co/w4yYKij6tY https://t.co/drcoKvdO9N,0
8,8,Ａｂａｌａｎｃｅ,Wed Feb 06 17:03:15 +0000 2019,BODY &amp; ENERGY WORKERS: let's make a difference! Please tag someone in the industry &amp; vote for Healing Warriors Prog… https://t.co/X7A1R0dAlD,0
9,9,Ａｂａｌａｎｃｅ,Wed Feb 06 17:00:10 +0000 2019,#Findabalance #MentalHealthMatters #mentalhealth #MentalHealthAwareness #selfhelp #selflove https://t.co/5ZhZWRznSF,0
10,10,Ａｂａｌａｎｃｅ,Wed Feb 06 15:02:22 +0000 2019,Check out our Colorado License Resources https://t.co/qZ4Xz1uljH https://t.co/dGMEjnfe3g,0
11,11,Ａｂａｌａｎｃｅ,Wed Feb 06 11:52:34 +0000 2019,@susanacactus Igual ahi mismo me le abalance y la acaricie y le dije “eso no se hace”. Jajajajjajaa mira https://t.co/MCzw61kKfo,0
12,12,Ａｂａｌａｎｃｅ,Wed Feb 06 11:01:19 +0000 2019,Abalance interior design ขอขอบคุณและรู้สึกเป็นเกียรติอย่างยิ่งที่ได้รับเชิญในงาน “Thank You Dinner” โดย SB Design S… https://t.co/QDxHziXhyA,0
13,13,Ａｂａｌａｎｃｅ,Wed Feb 06 08:00:03 +0000 2019,#Findabalance #MentalHealthMatters #mentalhealth #MentalHealthAwareness #selfhelp #selflove https://t.co/JIux2ICbJl,0
14,14,Ａｂａｌａｎｃｅ,Wed Feb 06 07:23:03 +0000 2019,3856 Abalance角田市太陽光発電事業太陽光発電所建設計画https://t.co/mBpv5LkRz4,0
15,15,Ａｂａｌａｎｃｅ,Wed Feb 06 06:54:23 +0000 2019,Ａｂａｌａｎｃｅ 角田市太陽光発電事業 太陽光発電所建設計画https://t.co/oMjSSztfJF,0
16,16,Ａｂａｌａｎｃｅ,Wed Feb 06 06:45:36 +0000 2019,Ａｂａｌａｎｃｅ(株)[38560]角田市太陽光発電事業 太陽光発電所建設計画2019/02/06 15:30https://t.co/1lvt6uRQkw,1
17,17,Ａｂａｌａｎｃｅ,Wed Feb 06 06:31:30 +0000 2019,Ａｂａｌａｎｃｅ(株)[38560]角田市太陽光発電事業 太陽光発電所建設計画2019/02/06 15:30https://t.co/6vd2ZreL8r,1
18,18,Ａｂａｌａｎｃｅ,Wed Feb 06 02:19:48 +0000 2019,"Sabía que yo era un niño pero no lo vi extraño, era lo más normal para mí, vi una chica muy atractiva y me abalancé… https://t.co/y4E5bxeZTT",0
19,19,Ａｂａｌａｎｃｅ,Wed Feb 06 01:34:15 +0000 2019,Ａｂａｌａｎｃｅ （3856）：＋38円の630円。更に上昇。 https://t.co/ruFz1EQ7di,0
