,Unnamed: 0,keyword,date,text,score
0,0,ＴＡＴＥＲＵ,Thu Feb 07 18:19:05 +0000 2019,「あー ねえ この図鑑ニセモノだよお ほらー この絵 鯨は こんなにまんまるじゃないもの」「それは昔の絵だからよ 昔は みんな 浜にうちあげられた鯨しか見たことがなかったから 腐爛してまんまるになってるの」,2
1,1,ＴＡＴＥＲＵ,Thu Feb 07 17:19:13 +0000 2019,どんなに いけない煙草でも 許してあげる,0
2,2,ＴＡＴＥＲＵ,Thu Feb 07 16:19:12 +0000 2019,ねえ その羽は どんな望みでも叶うの,2
3,3,ＴＡＴＥＲＵ,Thu Feb 07 15:37:41 +0000 2019,#TATERU #レオパレス #スルガ銀行 などの投資アパート詐欺は問題視してます。業者と金融機関が結託して老人だましてカネ巻き上げるようなビジネスモデルが何十年もまかり通っ・・・続きは質問箱へ#peing #質問箱 https://t.co/EWZ17xhnTU,-2
4,4,ＴＡＴＥＲＵ,Thu Feb 07 15:19:14 +0000 2019,パパバクスターとママバクスターとリトルバクスターは 春のバカンスにお出かけ,1
5,5,ＴＡＴＥＲＵ,Thu Feb 07 14:42:26 +0000 2019,日々悩みが尽きませんなあ。,-1
6,6,ＴＡＴＥＲＵ,Thu Feb 07 14:19:19 +0000 2019,堕ちる旅客機の乗客や 沈む客船の乗客や 天使が夢みるくらいに そこは とっても遠いの,0
7,7,ＴＡＴＥＲＵ,Thu Feb 07 14:15:32 +0000 2019,TATERU の最後の売り買いなんだったのだろう💦 https://t.co/SeA4yqwOkN,0
8,8,ＴＡＴＥＲＵ,Thu Feb 07 14:12:09 +0000 2019,日足そんなに見てなかったけど、退場した人からしたら魂が抜けそうになるチャートだなこれ2016年のアキュセラインクと、2018年のTATERUとほぼ同じだわこれ https://t.co/ahOnIN5HYN,1
9,9,ＴＡＴＥＲＵ,Thu Feb 07 13:19:34 +0000 2019,飲みかけのお茶 開いたままの本 冷蔵庫に冷えた海老,0
10,10,ＴＡＴＥＲＵ,Thu Feb 07 13:07:58 +0000 2019,今日はあぶく銭でTATERU現物買い増し。,0
11,11,ＴＡＴＥＲＵ,Thu Feb 07 12:59:14 +0000 2019,不動産セクターの鍵となる銘柄TATERU 2/13本決算シノケン 2/15本決算三菱地所でも三井不動産でもなく、この2銘柄。昨期4Qの実績と今期予想に注目。それで2019年の不動産セクターを占う。,1
12,12,ＴＡＴＥＲＵ,Thu Feb 07 12:13:46 +0000 2019,TATERU物件建築基準法違反ありリークしておきます。,-1
13,13,ＴＡＴＥＲＵ,Thu Feb 07 11:19:32 +0000 2019,歌うみたいに呼ぶ声がする あれはきっと おかあさんの声だ,0
14,14,ＴＡＴＥＲＵ,Thu Feb 07 11:16:37 +0000 2019,TATERUがやられレオパレスもやられた次の標的となる不動産屋業界はどいつや,0
15,15,ＴＡＴＥＲＵ,Thu Feb 07 11:12:15 +0000 2019,RT @takenoko_tateta: 来週となりましたー！2月12日（火）扇町para-dice▷THE POSE▷WORLD▷オガサワラヒロユキ▶︎立てるopen7:00/start7:30¥1200（+drink代¥500）素敵な方々とご一緒させ…,2
16,16,ＴＡＴＥＲＵ,Thu Feb 07 11:05:59 +0000 2019,プレサンスコーポレーション(3254)、最高益＆増配。関西中心ににファミリー向けマンションやホテルの開発・販売。TATERUによる融資の改ざん問題で金融機関が融資先選別を進める中でも、影響は小さく「今後３年分の売り上げに相当す… https://t.co/W8eKvR9kuU,0
17,17,ＴＡＴＥＲＵ,Thu Feb 07 10:19:20 +0000 2019,さて しめくくるのは もちろんあの言葉 あの祈りにも似た聖なる言葉よ あなたはそれを知っているの ヒントをあげるわ ホラ もう分かったわよね,1
18,18,ＴＡＴＥＲＵ,Thu Feb 07 09:19:23 +0000 2019,これがスプリングヒルの言ってた夏の日じゃな わしは そこに迷いこんだんじゃ,-1
19,19,ＴＡＴＥＲＵ,Thu Feb 07 09:08:53 +0000 2019,ガイアの夜明けから下がらなかったから余ったお金で買ってみればwwwTATERUの二の舞キタコレ(´･ω･`)レオパレスめぇwww,1
20,20,ＴＡＴＥＲＵ,Thu Feb 07 08:47:25 +0000 2019,サンバイオのPTSいい感じに上がってる利益出たやつ全部売ってこれ買ったので残りマイナスはTATERUの1.7万のみ(´･ω･`)取り返せたらいいなぁ https://t.co/hHmuJPMMOo,2
21,21,ＴＡＴＥＲＵ,Thu Feb 07 08:31:29 +0000 2019,RT @xRINGx: TATERUがこっそりと、YL,0
22,22,ＴＡＴＥＲＵ,Thu Feb 07 08:27:00 +0000 2019,Credit Suisse Securitiesの空売り残高(2/5)1435 TATERU 0.51% 再IN2432 ディー・エヌ・エー +0.1%2479 ジェイテック -0.12%2730 エディオン -0.1%… https://t.co/5TbJ0NayyL,-1
23,23,ＴＡＴＥＲＵ,Thu Feb 07 08:19:58 +0000 2019,RT @tolle_et_lege: コンマリは英語をほとんど話さないのにアメリカで活躍しているというのが画期的で、英語を話せないから日本人は世界で活躍できなんだだから英語だ！ という昨今の掛け声にもかかわらず世界で活躍できないのは英語のせいじゃなくて能力の問題ではないかと教え…,3
24,24,ＴＡＴＥＲＵ,Thu Feb 07 08:19:40 +0000 2019,RT @goando: 数年ぶりにゴルゴ13読んだら、宇宙空間で人工衛星を狙撃してた... https://t.co/0SdwvOkV8I,1
25,25,ＴＡＴＥＲＵ,Thu Feb 07 08:19:16 +0000 2019,崇拝してた この世で一番 誰よりもキレイな黄金のグレイト・ラバー…,3
26,26,ＴＡＴＥＲＵ,Thu Feb 07 07:43:01 +0000 2019,GOLDMAN SACHSの空売り残高(2/5)1435 TATERU +0.11%2389 オプトホールディング +0.16%3053 ペッパーフードサービス -0.04%3197 すかいらーくホールディングス -0.… https://t.co/WatzgEc0Qa,-1
27,27,ＴＡＴＥＲＵ,Thu Feb 07 07:19:35 +0000 2019,あんたたちってあれみたい ほらあの ライナスと毛布 スヌーピーでルーシーの弟が持ってるじゃない 毛布とライナスはいつも一緒なの ライナスの毛布 セキュリティ・ブランケットよ,2
28,28,ＴＡＴＥＲＵ,Thu Feb 07 06:33:21 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
29,29,ＴＡＴＥＲＵ,Thu Feb 07 06:24:01 +0000 2019,RT @rbhtr103: TATERUの土地が、また、他社で販売されていました。ここは、3棟が並んで建つ予定でしたが、1棟だけ契約が済まされてしまったのですね。1棟だけが、変な具合に建ってます。気の毒過ぎます。TATERU酷いよ。#TATERU #不正融資 #アパー…,-4
30,30,ＴＡＴＥＲＵ,Thu Feb 07 06:19:13 +0000 2019,ベイビー ぼくは たぶん もう 取り返しがつかなくなっちゃってるんだけど 一緒に堕ちてってくれるかい？ 金歯より大事にするよ,2
31,31,ＴＡＴＥＲＵ,Thu Feb 07 06:13:11 +0000 2019,TATERUはもう株主優待でクオカードあげるよん何て言ってる場合じゃないだろう〜これ(´･_･`),0
32,32,ＴＡＴＥＲＵ,Thu Feb 07 06:03:40 +0000 2019,RT @moneynotora9984: TATERUの引け間際の上げ何！,0
33,33,ＴＡＴＥＲＵ,Thu Feb 07 06:03:03 +0000 2019,RT @xRINGx: TATERUがこっそりと、YL,0
34,34,ＴＡＴＥＲＵ,Thu Feb 07 06:01:35 +0000 2019,TATERUの引け間際の上げ何！,0
35,35,ＴＡＴＥＲＵ,Thu Feb 07 05:58:27 +0000 2019,RT @shimon61038234: 上場企業タテルに対して国の罰則が甘いと思う。だからイタチごっこになる。また出てくるよ。不動産投資大手TATERUで350件の不正発覚、調査報告書の生々しい中身 | inside Enterprise | ダイヤモンド・オンライン ht…,-2
36,36,ＴＡＴＥＲＵ,Thu Feb 07 05:56:51 +0000 2019,RT @NewLow_bot: 【1435】TATERU 287円（新安値 02/07 14:51）,0
37,37,ＴＡＴＥＲＵ,Thu Feb 07 05:56:41 +0000 2019,RT @xRINGx: TATERUがこっそりと、YL,0
38,38,ＴＡＴＥＲＵ,Thu Feb 07 05:54:38 +0000 2019,RT @xRINGx: TATERUがこっそりと、YL,0
39,39,ＴＡＴＥＲＵ,Thu Feb 07 05:54:11 +0000 2019,TATERUがこっそりと、YL,0
40,40,ＴＡＴＥＲＵ,Thu Feb 07 05:53:45 +0000 2019,TATERU新安値287,0
41,41,ＴＡＴＥＲＵ,Thu Feb 07 05:51:40 +0000 2019,RT @NewLow_bot: 【1435】TATERU 287円（新安値 02/07 14:51）,0
42,42,ＴＡＴＥＲＵ,Thu Feb 07 05:51:32 +0000 2019,【1435】TATERU 287円（新安値 02/07 14:51）,0
43,43,ＴＡＴＥＲＵ,Thu Feb 07 05:28:30 +0000 2019,中・長期用に東海カーボン、TATERU、FRONTEO、ソースネクストなどを新規買い。自分も熟読しましたが、初心者がまず読むべきはこの本だと思います！https://t.co/c7DivTdZCf,0
44,44,ＴＡＴＥＲＵ,Thu Feb 07 05:27:02 +0000 2019,不動産テック、ＴＡＴＥＲＵを例に、デッドキャットバウンスについての説明を書いていたところでした。。。歴史に学びたい。 https://t.co/iwCk1PF2iW,0
45,45,ＴＡＴＥＲＵ,Thu Feb 07 05:19:28 +0000 2019,おんなじ一日をグルグル廻ってる レコード針がひっかかるみたいに なにかにひっかかってるんだ,-2
46,46,ＴＡＴＥＲＵ,Thu Feb 07 05:14:32 +0000 2019,なんかレオパやTATERUが叩かれまくってるんで「新築AP投資はクソ」みたいな流れになっとるけど戦略的に場所を選定し、キチンとした建設会社に頼み、真っ当な管理会社で運営する分には安全な事業だと思う現に申告しながら実質CFと申告上… https://t.co/FJeEQ54hVU,1
47,47,ＴＡＴＥＲＵ,Thu Feb 07 04:48:58 +0000 2019,@cissan_9984 1435 TATERU 買ってください。お願いします。,0
48,48,ＴＡＴＥＲＵ,Thu Feb 07 04:19:23 +0000 2019,これもいいけど…… でも夏の終わりにサガンじゃ あまりに保守的だわ,1
49,49,ＴＡＴＥＲＵ,Thu Feb 07 03:26:29 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
50,50,ＴＡＴＥＲＵ,Thu Feb 07 03:19:28 +0000 2019,「じゃあ どうして 帰らないの？」──本当に どうして？,0
51,51,ＴＡＴＥＲＵ,Thu Feb 07 03:17:04 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
52,52,ＴＡＴＥＲＵ,Thu Feb 07 03:10:17 +0000 2019,「シェアハウス：かぼちゃの馬車」「新築アパート：TATERU」「中古一棟マンション：ケリーバックス」とまたもや不動産投資にネガティブイメージがついてしまいました、、 https://t.co/6gnZRgbhM9… https://t.co/kpDDKikXiE,-1
53,53,ＴＡＴＥＲＵ,Thu Feb 07 03:05:50 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
54,54,ＴＡＴＥＲＵ,Thu Feb 07 03:05:37 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
55,55,ＴＡＴＥＲＵ,Thu Feb 07 02:59:59 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
56,56,ＴＡＴＥＲＵ,Thu Feb 07 02:58:56 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
57,57,ＴＡＴＥＲＵ,Thu Feb 07 02:58:46 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
58,58,ＴＡＴＥＲＵ,Thu Feb 07 02:51:13 +0000 2019,RT @muratamika2020: 【完全プロ仕様】ご参考【素人は手出し絶対禁止】リバウンド狙い　過去の事例TATERU チャート - Google 検索https://t.co/4JcJJmkeh7 https://t.co/sdtJazKYc3,-1
59,59,ＴＡＴＥＲＵ,Thu Feb 07 02:19:18 +0000 2019,バスには すべての旅する者が乗っているのだ,0
60,60,ＴＡＴＥＲＵ,Thu Feb 07 01:59:55 +0000 2019,ＴＡＴＥＲＵ　２９０円割れで追加大日本住友凄いあがってきてましゅしゅしゅしゅしゅ https://t.co/liKMkh8hAg,0
61,61,ＴＡＴＥＲＵ,Thu Feb 07 01:57:57 +0000 2019,TATERUもそうだけど安心感が最大の上げ材料だよなぁ,1
62,62,ＴＡＴＥＲＵ,Thu Feb 07 01:49:45 +0000 2019,サンバイオ3200円かー。2500円で追証強制決済された人たちのオーバーシュートを食った市場。。なるほどとは思うが手が出せんかった。これこそ需給相場か。。TATERUと一緒やな。うーむ,1
63,63,ＴＡＴＥＲＵ,Thu Feb 07 01:36:17 +0000 2019,RT @sokone11: 現在保有銘柄ＴＡＴＥＲＵＨＡＭＥＥＡＰＡＭＡＮＺＯＺＯ　→　新規ＢＥＥＮＯＳ　→　新規ロコンド日本ＰＣサービスちぬー,1
64,64,ＴＡＴＥＲＵ,Thu Feb 07 01:34:57 +0000 2019,現在保有銘柄ＴＡＴＥＲＵＨＡＭＥＥＡＰＡＭＡＮＺＯＺＯ　→　新規ＢＥＥＮＯＳ　→　新規ロコンド日本ＰＣサービスちぬー,1
65,65,ＴＡＴＥＲＵ,Thu Feb 07 01:26:20 +0000 2019,ＡＰＡＭＡＮＨＡＭＥＥＴＡＴＥＲＵ英語の横文字で保有中で大負け中でやばい奴,-2
66,66,ＴＡＴＥＲＵ,Thu Feb 07 01:25:02 +0000 2019,RT @windpic: かぼちゃの馬車もレオパレス２１もTATERUも、不動産株全体を下げる要因がボロボロ出てくる。株持ってないけどw https://t.co/B3Zfk5NQ4S,1
67,67,ＴＡＴＥＲＵ,Thu Feb 07 01:22:53 +0000 2019,RT @windpic: かぼちゃの馬車もレオパレス２１もTATERUも、不動産株全体を下げる要因がボロボロ出てくる。株持ってないけどw https://t.co/B3Zfk5NQ4S,1
68,68,ＴＡＴＥＲＵ,Thu Feb 07 01:22:20 +0000 2019,ＴＡＴＥＲＵが新安値割れる危険性あり https://t.co/woi8HrIBga,-1
69,69,ＴＡＴＥＲＵ,Thu Feb 07 01:21:57 +0000 2019,かぼちゃの馬車もレオパレス２１もTATERUも、不動産株全体を下げる要因がボロボロ出てくる。株持ってないけどw https://t.co/B3Zfk5NQ4S,1
70,70,ＴＡＴＥＲＵ,Thu Feb 07 01:19:50 +0000 2019,とりあえずライザップとかTATERUぶん投げてサンバイオに投入明日上がったら売る(´･ω･`),1
71,71,ＴＡＴＥＲＵ,Thu Feb 07 01:19:29 +0000 2019,わたしは… 汽車が動くのを待ちます …そして故郷に帰ります そこには… 杏の木があって…… 私達は そこで出会ったんです,0
