,keyword,date,text
0,アイコム,Thu Feb 07 14:26:18 +0000 2019,@88FlaK36 ワシとチャクさんはこの無線機買いましたよ。https://t.co/DTQgcULBZk
1,アイコム,Thu Feb 07 13:52:10 +0000 2019,2/7 2/8の決算発表予定　高期待銘柄🌕2154 トラスト・テック🌕2899 永谷園HD🌕4911 資生堂🌕6245 ヒラノテク🌕6324 ハーモニック🌕6346 キクカワ🌕6513 オリジン🌕6675 サクサ… https://t.co/I9zg6yiCUy
2,アイコム,Thu Feb 07 12:39:28 +0000 2019,@a5_thx 無線機とコムタックつなぐやつってアイコム用ですか?
3,アイコム,Thu Feb 07 11:44:11 +0000 2019,家に帰ったら、アイコムから9700発売記念キャンペーンで何やら着弾
4,アイコム,Thu Feb 07 11:22:41 +0000 2019,ブルーの無線を聞くためだけにアイコムのic-r6を
5,アイコム,Thu Feb 07 10:35:14 +0000 2019,@pa0005 アイコムってなんだ(笑)アイコンでした。。中身おっさんなら安心して絡めます( ´´ิ∀´ิ` )
6,アイコム,Thu Feb 07 10:18:19 +0000 2019,@parkour_sky アイコムですおースイッチ、ワイピン、ヘッドセットと繋げております
7,アイコム,Thu Feb 07 09:01:06 +0000 2019,@pa0005 え。。すみません。。ほんとに男性が女の人のアイコムしてる人かと思ってました…┣¨ｷ(*ﾟдﾟ*)┣¨ｷ
8,アイコム,Thu Feb 07 08:40:58 +0000 2019,ICOM アイコム IC-736M HF/50MHz オールモード 25W ジャンク品 https://t.co/FTNrG3hcVD #ヤフオク
9,アイコム,Thu Feb 07 07:22:36 +0000 2019,入荷しました【#楽天市場】#日商電販 【中古】IC-DU65C ICOM/アイコム 高出力デジタル簡易無線機 デジタルトランシーバー [楽天] https://t.co/MuVsKucZj9 #RakutenIchiba https://t.co/kpVI52PGCz
10,アイコム,Thu Feb 07 05:14:02 +0000 2019,2/1に発送し、本日（2/7）に、修正が完了して、帰ってきました。アイコムさん　早い！　　ありがとうございました。#IC7610 #サブスピー回路修正
11,アイコム,Thu Feb 07 04:03:34 +0000 2019,"IC-R6用のUSB電源ケーブルってのがヤフオクで売ってるけどIC-R5では使用できませんって書いてあるんだよなぁ...アイコム純正のシガー電源はIC-R6,R5,R3SSで使えるみたいだけどIC-R6用のUSB電源ケーブルはIC-R3では使えるのかな？"
