,keyword,date,text
0,コネクシオ,Thu Feb 07 05:54:32 +0000 2019,パシフィコ横浜の「テクニカルショウヨコハマ2019」コネクシオ様ブースで #エンルート #はたらくドローン®️ を明日まで展示中です❣️ #ドローン #drone #uav 場所: パシフィコ横浜 https://t.co/eo6Zlziibi
1,コネクシオ,Tue Feb 05 03:12:01 +0000 2019,2/4 逆日歩日数 1日9409 テレビ朝日ホールディングス 0.05円9422 コネクシオ 0.05円9434 ソフトバンク 0.05円9438 エムティーアイ 0.05円9475 昭文社 0.05円https://t.co/nXW5xPvYOG
2,コネクシオ,Tue Feb 05 02:45:33 +0000 2019,前場コメント No.16　セントラル硝子、ＴＯＡ、コネクシオ、ＳＡＮＫＹＯ、チャームケアなど（トレーダーズ・ウェブ） https://t.co/K0ztSjjRZ0
3,コネクシオ,Tue Feb 05 02:32:02 +0000 2019,【国内】前場コメント No.16　セントラル硝子、ＴＯＡ、コネクシオ、ＳＡＮＫＹＯ、チャームケアなど https://t.co/pCg7aCKluL
4,コネクシオ,Sat Feb 02 00:19:40 +0000 2019,RT @tomossan: コネクシオはやめておいたほうがいいですよ？
5,コネクシオ,Fri Feb 01 09:34:12 +0000 2019,【コネクシオ株式会社】給与に関しては業界的には平均的だと思うが、他の業界に比べると高いとはいえない思う。法人営業とクルーでもかなり違うと思う。OB訪問の際に給与について聞いてみたがあまり深く教えて、、、、続きを読む… https://t.co/c4bySVnw7t
6,コネクシオ,Fri Feb 01 05:25:18 +0000 2019,RT @recruit_kyujin: 都女性活躍大賞、コネクシオが受賞 | 地域経済 ニュース - 日刊工業新聞 https://t.co/WeSRZFJ8Ps
7,コネクシオ,Fri Feb 01 05:24:44 +0000 2019,RT @recruit_kyujin: 都女性活躍大賞、コネクシオが受賞 | 地域経済 ニュース - 日刊工業新聞 https://t.co/WeSRZFJ8Ps
8,コネクシオ,Fri Feb 01 05:23:15 +0000 2019,コネクシオはやめておいたほうがいいですよ？
9,コネクシオ,Fri Feb 01 05:22:34 +0000 2019,RT @recov: 「コネクシオはやめといた方が良いですよ。」
10,コネクシオ,Thu Jan 31 11:11:23 +0000 2019,RT @recov: 「コネクシオはやめといた方が良いですよ。」
11,コネクシオ,Thu Jan 31 11:08:47 +0000 2019,「コネクシオはやめといた方が良いですよ。」
12,コネクシオ,Thu Jan 31 11:08:31 +0000 2019,RT @J4BTa1PsxHalzir: @recov コネクシオはやめといた方が良いですよ。
13,コネクシオ,Thu Jan 31 11:07:31 +0000 2019,@recov コネクシオはやめといた方が良いですよ。
14,コネクシオ,Thu Jan 31 08:35:02 +0000 2019,30日の上昇率上位銘柄（東証１部）9422 コネクシオ（株）        上昇率：4.14％ https://t.co/b5iI5atxWF
15,コネクシオ,Thu Jan 31 07:35:44 +0000 2019,【最新株式ニュース】コネクシオ---年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力 https://t.co/tQPwL0OLSZ #株価 #コネクシオ
16,コネクシオ,Thu Jan 31 05:13:07 +0000 2019,コネクシオ　年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力 https://t.co/MQJMgJZGll
17,コネクシオ,Thu Jan 31 05:13:07 +0000 2019,コネクシオ---年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力 https://t.co/68TgdIuwVr https://t.co/XflagAxvWD
18,コネクシオ,Thu Jan 31 05:08:34 +0000 2019,コネクシオ　年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力 https://t.co/opAbFWcELg
19,コネクシオ,Thu Jan 31 05:05:38 +0000 2019,コネクシオ---年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力 | 個別株 - 株探ニュース https://t.co/Xg2RBifMlK
20,コネクシオ,Thu Jan 31 05:03:27 +0000 2019,コネクシオ---年間予想に対し順調に推移。3Qはコンシューマ事業が好調に推移、法人事業は各種ソリューションの取組みに注力（フィスコ）   https://t.co/9Mln6wN5Co
21,コネクシオ,Wed Jan 30 11:56:43 +0000 2019,2019/1/30　転換線上抜け8918ランド6750エレコム1812鹿島建設4549栄研化学1802大林組3264アスコット9422コネクシオ5444大和工業9006京浜急行電鉄
22,コネクシオ,Tue Jan 29 13:13:56 +0000 2019,コネクシオ【9422】4-12月期(3Q累計)経常は1％減益も対通期進捗は過去平均を超過https://t.co/AcL9Lsf0sH19年3月期第3四半期累計(4-12月)の経常利益(非連結)は前年同期比1.0％減の75.… https://t.co/3ijgGtYEej
23,コネクシオ,Tue Jan 29 06:56:34 +0000 2019,"コネクシオ(9422)　19年3月期3Q業績売上高1,917.15億→1,928.01億円↑営業利益75.89億→73.58億円↓経常利益76.59億→75.84億円↓純利益50.59億→49.78億円↓https://t.co/yt1yO21DCG"
24,コネクシオ,Tue Jan 29 06:37:03 +0000 2019,"9422 コネクシオ               平成31年3月期　第3四半期決算短信〔日本基準〕（非連結）売上 192,801 (0.6)営利 7,358 (△3.0)経利 7,584 (△1.0)当利 4,978 (… https://t.co/m1N1NJBEhD"
25,コネクシオ,Tue Jan 29 06:15:05 +0000 2019,9422 コネクシオ2019年3月期第3四半期決算説明資料(データシート)https://t.co/VErLpmVqhb
26,コネクシオ,Tue Jan 29 06:14:23 +0000 2019,9422 コネクシオ2019年3月期第3四半期決算説明資料https://t.co/Y97SAzvS6b
27,コネクシオ,Tue Jan 29 06:13:37 +0000 2019,【決算サマリーVisual】(9422)コネクシオの18年4～12月期、税引き利益1.6%減49億円 https://t.co/EAUnNKDvs0
28,コネクシオ,Tue Jan 29 06:10:47 +0000 2019,"コネクシオ(9422)個19/03Q3:売 192,801(+0.6%):純 4,978(-1.6%)19/03通予:売 270,000(+1.9%):純 6,740(+0.0%)"
