,keyword,date,text
0,サニックス,Thu Feb 07 15:23:19 +0000 2019,SANIX CUP INTERNATIONAL YOUTH SOCCER TOURNAMENTサニックス杯参加チーム今年も豪華だね(*´▽`*)なかなか対戦出来る機会ないから貴重な大会✨ https://t.co/cwi7oYXiju
1,サニックス,Thu Feb 07 15:09:57 +0000 2019,RT @tsujimaruflame: 2019サニックス杯出場チームU-17マレーシア🇲🇾CRMユナイテッドユース🇳🇬江蘇蘇寧FCユース🇨🇳慶煕高校🇰🇷青森山田高校尚志高校山梨学院高校流通経済大柏高校東福岡高校東海大福岡高校鹿島アントラーズユース清水エ…
2,サニックス,Thu Feb 07 14:31:00 +0000 2019,RT @tsujimaruflame: 2019サニックス杯出場チームU-17マレーシア🇲🇾CRMユナイテッドユース🇳🇬江蘇蘇寧FCユース🇨🇳慶煕高校🇰🇷青森山田高校尚志高校山梨学院高校流通経済大柏高校東福岡高校東海大福岡高校鹿島アントラーズユース清水エ…
3,サニックス,Thu Feb 07 14:07:23 +0000 2019,@mapi12100501 サニックスが3/14-17　イギョラが3/16-18になってました。
4,サニックス,Thu Feb 07 13:58:13 +0000 2019,RT @higashi555: 【予定】サニックス杯（出場チーム）U-17マレーシア・CRMユナイテッドティーンズFCユース・江蘇蘇寧FCユース・慶煕高・山梨学院・青森山田・鹿島アントラーズユース・清水エスパルスユース・アビスパ福岡U-18・東福岡・尚志・流経大柏・サガン鳥栖…
5,サニックス,Thu Feb 07 13:42:54 +0000 2019,RT @higashi555: 【予定】サニックス杯（出場チーム）U-17マレーシア・CRMユナイテッドティーンズFCユース・江蘇蘇寧FCユース・慶煕高・山梨学院・青森山田・鹿島アントラーズユース・清水エスパルスユース・アビスパ福岡U-18・東福岡・尚志・流経大柏・サガン鳥栖…
6,サニックス,Thu Feb 07 13:41:52 +0000 2019,今年のサニックスとイギョラカップの日程はカブるのかなー？ https://t.co/82iUiNDt8Q
7,サニックス,Thu Feb 07 13:33:13 +0000 2019,RT @nakap_kamaishi: @tomy_go0812 ありがおーございます。ヤマハさん、宗像サニックスさん、そして釜石！これからもフライキを振り続けますがお！ https://t.co/8pNnsCovNX
8,サニックス,Thu Feb 07 13:32:31 +0000 2019,サニックス杯エントリー出てた〜行きたいのに卒業式被りだから断念……
9,サニックス,Thu Feb 07 13:30:28 +0000 2019,RT @insencemoon: サニックス杯SANIX CUP INTERNATIONAL YOUTH SOCCER TOURNAMENT 2019（男子）3月14日～17日　（女子）25日～26日@福岡県宗像市グローバルアリーナ既に出場が決まってる、東福岡や東海…
10,サニックス,Thu Feb 07 13:28:11 +0000 2019,サニックス杯出場チーム出たか。相変わらず豪華やなぁ。アビスパ福岡はいつも通りとして、サガン鳥栖も参加。例年通り九州高校サッカー新人戦の上位2チームに出場権が与えられる。
11,サニックス,Thu Feb 07 13:26:39 +0000 2019,RT @tsujimaruflame: 2019サニックス杯出場チームU-17マレーシア🇲🇾CRMユナイテッドユース🇳🇬江蘇蘇寧FCユース🇨🇳慶煕高校🇰🇷青森山田高校尚志高校山梨学院高校流通経済大柏高校東福岡高校東海大福岡高校鹿島アントラーズユース清水エ…
