,keyword,date,text
0,サンヨーホームズ,Thu Feb 07 11:56:41 +0000 2019,RT @hamutao1000: 【監視銘柄一軍】1420 サンヨーホームズ2162 nms3558 ロコンド3561 力の源3654 ヒトコミュニケーションズ4346 ネクシィーズ4579 ラクオリア創薬5358 イソライト工業5698 エンビプロ629…
1,サンヨーホームズ,Thu Feb 07 10:50:03 +0000 2019,離れていても安心！ マルチセンサーで家族を見守る「IoTで見守る暮らし」を発売！！ 〔02/07 サンヨーホームズ〕 https://t.co/FDCAewbP3E
2,サンヨーホームズ,Thu Feb 07 01:43:01 +0000 2019,2/6 逆日歩日数 1日1407 ウエストホールディングス 0.05円1419 タマホーム 0.05円1420 サンヨーホームズ 0.05円1429 日本アクア 0.05円1479 ダイワ 上場投信-MSCI日本株人材… https://t.co/l0uPJnkVRB
3,サンヨーホームズ,Wed Feb 06 01:43:01 +0000 2019,2/5 逆日歩日数 4日1407 ウエストホールディングス 0.20円1419 タマホーム 0.20円1420 サンヨーホームズ 0.20円1471 (NEXT FUNDS)JPX日経400インバース 20.00円14… https://t.co/grn7nNXFmM
4,サンヨーホームズ,Tue Feb 05 08:56:30 +0000 2019,1千円分のクオカードがもらえる！サンヨーホームズ(1420)の株主優待と配当はオススメか？ https://t.co/izhPrZFd7A
5,サンヨーホームズ,Tue Feb 05 01:35:01 +0000 2019,2/4 逆日歩日数 1日1407 ウエストホールディングス 0.05円1419 タマホーム 0.05円1420 サンヨーホームズ 0.05円1429 日本アクア 0.05円1476 iシェアーズ・コア Jリート ETF… https://t.co/rB6AjAO3xW
6,サンヨーホームズ,Mon Feb 04 08:25:48 +0000 2019,【汚い選挙＝創価学会・公明党】陽はまた昇るだろう、この不正の国にも…いつの日にか、いつの日にか、マトモな選挙が出来るさ…　※「友達が創価学会員だから」と、公明党に投票するのをヤメましょう！マトモな選挙を取り戻す為に #サンヨーホームズ #明和地所
7,サンヨーホームズ,Mon Feb 04 06:16:41 +0000 2019,【決算サマリーVisual】(1420)サンヨーホームズの18年4～12月期、最終損益4億9400万円の赤字 https://t.co/aZJTt5Rdtf
8,サンヨーホームズ,Mon Feb 04 06:10:46 +0000 2019,サンヨーホームズ(株)[14200]平成31年３月期 第３四半期決算短信〔日本基準〕（連結）2019/02/04 15:00https://t.co/uSqT43zhuz
9,サンヨーホームズ,Mon Feb 04 06:03:46 +0000 2019,サンヨーホームズ(株)[14200]平成31年３月期 第３四半期決算短信〔日本基準〕（連結）2019/02/04 15:00https://t.co/EVtpOIce2f
10,サンヨーホームズ,Mon Feb 04 01:43:01 +0000 2019,2/1 逆日歩日数 1日1419 タマホーム 0.05円1420 サンヨーホームズ 0.05円1471 (NEXT FUNDS)JPX日経400インバース 5.00円1479 ダイワ 上場投信-MSCI日本株人材設備投資… https://t.co/m2NcptXsHI
11,サンヨーホームズ,Sat Feb 02 10:50:02 +0000 2019,高齢者見守りサービス「遠くても安心プラン」を初めて分譲マンションに全戸搭載！ 高齢者向け新サービス開発に向けて基本合意締結。 〔02/01 サンヨーホームズ〕 https://t.co/PihEe7dp2F
12,サンヨーホームズ,Fri Feb 01 16:58:04 +0000 2019,2/4 決算発表予定1333 マルハニチロ 3Q 15:00 *16:001379 ホクト 3Q 15:001417 ミライト・ホールディングス 3Q 16:001420 サンヨーホームズ 3Q 15:001515 日… https://t.co/KOVaITNuDi
13,サンヨーホームズ,Fri Feb 01 10:55:49 +0000 2019,【汚い選挙＝創価学会・公明党】陽はまた昇るだろう、この不正の国にも…いつの日にか、いつの日にか、マトモな選挙が出来るさ…　※「友達が創価学会員だから」と、公明党に投票するのをヤメましょう！マトモな選挙を取り戻す為に #サンヨーホームズ #明和地所
14,サンヨーホームズ,Fri Feb 01 05:05:15 +0000 2019,東京電力ホールディングス 9501 14:03https://t.co/iW8Hoh5fzM高齢者見守りサービス「遠くても安心プラン」を初めて分譲マンションに全戸搭載！ ～高齢者向け新サービス開発に向けて基本合意書を締結～… https://t.co/fH1cfluZ0H
15,サンヨーホームズ,Fri Feb 01 05:04:52 +0000 2019,高齢者見守りサービス「遠くても安心プラン」を初めて分譲マンションに全戸搭載！～高齢者向け新サービス開発に向けて基本合意書を締結～2019年2月1日東京電力エナジーパートナー株式会社サンヨーホームズ株式会社https://t.co/HMOMaZM4pE
16,サンヨーホームズ,Fri Feb 01 01:43:01 +0000 2019,1/31 逆日歩日数 1日1419 タマホーム 0.05円1420 サンヨーホームズ 0.05円1429 日本アクア 0.05円1433 ベステラ 0.05円1471 (NEXT FUNDS)JPX日経400インバース… https://t.co/FoytCogqh8
17,サンヨーホームズ,Thu Jan 31 04:32:46 +0000 2019,RT @sato_kabu: 直近行われた記憶している、相手に打診せずにいきなりTOBした案件は、ソレキア(9867)とサンヨーホームズ(1420)どちらもTOB価格をぶち抜く場面はありました。その後の協業あまりうまく行って無さそうで、どちらも当時のTOB価格は下回ってます。ハ…
18,サンヨーホームズ,Thu Jan 31 03:34:49 +0000 2019,RT @sato_kabu: 直近行われた記憶している、相手に打診せずにいきなりTOBした案件は、ソレキア(9867)とサンヨーホームズ(1420)どちらもTOB価格をぶち抜く場面はありました。その後の協業あまりうまく行って無さそうで、どちらも当時のTOB価格は下回ってます。ハ…
19,サンヨーホームズ,Thu Jan 31 02:55:49 +0000 2019,【汚い選挙＝創価学会・公明党】陽はまた昇るだろう、この不正の国にも…いつの日にか、いつの日にか、マトモな選挙が出来るさ…　※「友達が創価学会員だから」と、公明党に投票するのをヤメましょう！マトモな選挙を取り戻す為に #サンヨーホームズ #明和地所
20,サンヨーホームズ,Thu Jan 31 02:36:45 +0000 2019,ジェク、売ってたら、サンヨーホームズ的なやつな。 https://t.co/u0b6Zq9Txl
21,サンヨーホームズ,Thu Jan 31 02:36:10 +0000 2019,直近行われた記憶している、相手に打診せずにいきなりTOBした案件は、ソレキア(9867)とサンヨーホームズ(1420)どちらもTOB価格をぶち抜く場面はありました。その後の協業あまりうまく行って無さそうで、どちらも当時のTOB価格… https://t.co/as3S1gDLhp
22,サンヨーホームズ,Thu Jan 31 02:32:38 +0000 2019,RT @26ooo: ソレキア→サンヨーホームズ→ジェクシードという解釈でおけ？
23,サンヨーホームズ,Thu Jan 31 02:25:23 +0000 2019,RT @26ooo: ソレキア→サンヨーホームズ→ジェクシードという解釈でおけ？
24,サンヨーホームズ,Thu Jan 31 02:13:43 +0000 2019,ソレキア→サンヨーホームズ→ジェクシードという解釈でおけ？
25,サンヨーホームズ,Thu Jan 31 01:43:01 +0000 2019,1/30 逆日歩日数 1日1414 ショーボンドホールディングス 0.10円1419 タマホーム 0.05円1420 サンヨーホームズ 0.05円1433 ベステラ 0.05円1457 ダイワ 上場投信-TOPIXイン… https://t.co/alXPEdNQX6
