,keyword,date,text
0,ジェネレーションパス,Thu Feb 07 02:01:56 +0000 2019,ジェネレーションパス1000円前後まで買うつもりなかったんですが1030円付近の買い板が1時間以上聞いてたんで打診買いホントに少しだけ https://t.co/x2nvixJw0V
1,ジェネレーションパス,Wed Feb 06 20:07:57 +0000 2019,RT @toyoRENOVA: 3195 ジェネレーションパスResearch Memo（8）：新たな成長ステージの軌道に乗る。中長期経営計画達成のカギは人材確保とM&amp;A | マーケット速報 | 企業情報FISCO https://t.co/OBoxDtkPfr
2,ジェネレーションパス,Wed Feb 06 15:10:15 +0000 2019,デジタルインフォメーションとジェネレーションパスいい感じでしたねまだいいと思うんやけど https://t.co/WjvGNzyqgB
3,ジェネレーションパス,Wed Feb 06 15:01:54 +0000 2019,明日のシストレ監視ＡｍｉｄＡリンクバルジェネレーションパス保有中は以下ネオスブロードバンドタワークボテック連休前ですしポジション調整はしっかりしたい。
4,ジェネレーションパス,Wed Feb 06 12:48:53 +0000 2019,@fukumarumix お疲れ様です。ドンキホーテ   ユニファミリーEC部門でジェネレーションパスにも将来的には恩恵がありそうですね。
5,ジェネレーションパス,Wed Feb 06 09:24:00 +0000 2019,Credit Suisse Securitiesの空売り残高(2/4)1435 TATERU -0.06%2432 ディー・エヌ・エー -0.06%2479 ジェイテック -0.55%2730 エディオン -0.02%… https://t.co/Vryh7K9SdB
6,ジェネレーションパス,Wed Feb 06 07:47:34 +0000 2019,オンコリスエクストリームジェネレーションパスフーバーブレインテリロジー
7,ジェネレーションパス,Wed Feb 06 06:16:23 +0000 2019,ジェネレーションパス https://t.co/qKGVLSF4pP
8,ジェネレーションパス,Wed Feb 06 00:55:23 +0000 2019,ジェネレーションパスありがとう。では仕事行きます。保有博展
9,ジェネレーションパス,Wed Feb 06 00:47:03 +0000 2019,3195　ジェネレーションパス
10,ジェネレーションパス,Wed Feb 06 00:45:53 +0000 2019,@oen0en ジェネレーションパス買い直しました😄
11,ジェネレーションパス,Wed Feb 06 00:39:45 +0000 2019,RT @toyoRENOVA: 3195　ジェネレーションパスそろそろジェネパあがるかな！（願望
12,ジェネレーションパス,Wed Feb 06 00:39:36 +0000 2019,RT @7Y8k3d17SozCE0w: ジェネレーションパスフィスコリサーチでてますめっさたくさん順番で配信して、読みにくい https://t.co/9PDtAHyf8b
13,ジェネレーションパス,Wed Feb 06 00:39:30 +0000 2019,RT @karauriNET: Deutsche Bank Londonの空売り残高(2/1)2127 日本M&amp;Aセンター 0.51% 再IN2134 燦キャピタルマネージメント +0.13%2372 アイロムグループ +0.07%3132 マクニカ・富士エレホールデ…
14,ジェネレーションパス,Wed Feb 06 00:30:39 +0000 2019,RT @aquage_7: ジェネレーションパス家具EC市場拡大で好環境到来のネット企業 https://t.co/fDiE87mFAW
15,ジェネレーションパス,Wed Feb 06 00:30:30 +0000 2019,RT @hayakenkyoto: ジェネレーションパス※おすすめ度A https://t.co/VWn0FJQhzf
16,ジェネレーションパス,Wed Feb 06 00:30:25 +0000 2019,RT @hiro_hiroism: 昨年11月から保有しているジェネパについて、目標株価などをまとめてみました。3195 ジェネレーションパス の銘柄考察 https://t.co/3ekcutlu9Y
17,ジェネレーションパス,Wed Feb 06 00:23:18 +0000 2019,3195　ジェネレーションパス　↑　　ゆっくりゆっくりーーー
