,keyword,date,text
0,フォーカスシステムズ,Thu Feb 07 13:50:17 +0000 2019,フォーカスシステムズ(フォーカス)【4662】決算/業績/財務推移 | 株探 https://t.co/PtLitJM5cC
1,フォーカスシステムズ,Thu Feb 07 12:11:26 +0000 2019,明日の個人的気になる決算2453JBR3461パルマ4331テイクアンドギヴニーズ4662フォーカスシステムズ4999セメダイン6548旅工房6901藤澤電機
2,フォーカスシステムズ,Wed Feb 06 16:54:26 +0000 2019,"2/8 決算発表予定4635 東京インキ 3Q 13:20 *15:00,13:404642 オリジナル設計 通期 15:004662 フォーカスシステムズ 3Q 13:45 *14:00,15:00,13:404671… https://t.co/04xlSpu9aE"
3,フォーカスシステムズ,Wed Feb 06 08:53:05 +0000 2019,おそ引け乙でした👍フォーカスシステムズを半分利確♪後場にダブルインバ&amp;ヴィスコ購入🐯日計りベルトラ◯／トレンダーズ×××😇明日も宜しくお願いします！
4,フォーカスシステムズ,Wed Feb 06 01:21:33 +0000 2019,RT @loco_ytown: 山ノ内町から「2019 FISノルディックスキー世界選手権大会」に日本代表として出場する馬場直人選手(専修大学)と滝沢こずえ選手(ﾌｫｰｶｽｼｽﾃﾑｽﾞSC)が表敬訪問されました。#山ノ内町 #志賀高原 #クロスカントリースキー #FISノル…
5,フォーカスシステムズ,Wed Feb 06 01:20:01 +0000 2019,山ノ内町から「2019 FISノルディックスキー世界選手権大会」に日本代表として出場する馬場直人選手(専修大学)と滝沢こずえ選手(ﾌｫｰｶｽｼｽﾃﾑｽﾞSC)が表敬訪問されました。#山ノ内町 #志賀高原… https://t.co/V71his6KXm
6,フォーカスシステムズ,Tue Feb 05 05:34:36 +0000 2019,トランスジェニックタカラバイオコスモバイオカルナバイオサイエンスカイオム・バイオサイエンスジーンテクノサイエンスナノキャリアサンバイオ新日本科学不二サッシフォーカスシステムズアンジェススリー・ディー・マトリ… https://t.co/py8Ih3cCa4
7,フォーカスシステムズ,Tue Feb 05 04:45:47 +0000 2019,全体レギュラー会員銘柄野崎印刷→イーソル→フォーカスシステムズ→イード→ユビキタスＡＩとコツコツ連勝。流れに乗って報道も増えてきたとある国策銘柄を推奨します！トラフィック会員の方ご準備を。
8,フォーカスシステムズ,Sun Feb 03 14:57:43 +0000 2019,来週の気になる決算・4722　フューチャー　独立系システム会社・7687　TDCソフト　　システム開発会社・4662　フォーカスシステムズ　ソフト開発会社全部システム・ソフト系なんだよな…
9,フォーカスシステムズ,Sun Feb 03 14:55:37 +0000 2019,RT @saruyama_cho: ★あの「フォレンジック刑事」が復活＼(^O^)／!!★皆様のご好評をいただき、コミックス化して完結を迎えた漫画が、おかげ様で今度は復活を遂げました!!＼(^O^)／https://t.co/k3NmEz7gB4本日より無料配信♪見てね…
10,フォーカスシステムズ,Sat Feb 02 12:18:37 +0000 2019,RT @saruyama_cho: ★あの「フォレンジック刑事」が復活＼(^O^)／!!★皆様のご好評をいただき、コミックス化して完結を迎えた漫画が、おかげ様で今度は復活を遂げました!!＼(^O^)／https://t.co/k3NmEz7gB4本日より無料配信♪見てね…
11,フォーカスシステムズ,Sat Feb 02 12:17:48 +0000 2019,RT @saruyama_cho: ★あの「フォレンジック刑事」が復活＼(^O^)／!!★皆様のご好評をいただき、コミックス化して完結を迎えた漫画が、おかげ様で今度は復活を遂げました!!＼(^O^)／https://t.co/k3NmEz7gB4本日より無料配信♪見てね…
