,keyword,date,text
0,ヤマウラ,Thu Feb 07 10:36:39 +0000 2019,ヤマウラから100周年記念優待の野菜ジュースセットが届いた😄ありがとうございます。これからもずっとホールドしますね。
1,ヤマウラ,Thu Feb 07 09:21:58 +0000 2019,ヤマウラさんから100周年記念優待が届きました〰️☺️嬉しい😃💕 https://t.co/5ZjMDzclnm
2,ヤマウラ,Thu Feb 07 05:53:29 +0000 2019,1780ヤマウラから記念優待品がきました！速い！ https://t.co/Ais6Xze5H1
3,ヤマウラ,Thu Feb 07 05:04:39 +0000 2019,賃貸マンション構造見学会開催　　ヤマウラ辰野支店 https://t.co/WdeYDAsxtC
4,ヤマウラ,Thu Feb 07 05:01:23 +0000 2019,賃貸マンション構造見学会開催　　ヤマウラ辰野支店 ヤマウラ辰野支店（上伊那郡辰野町伊那富７４７５―３、TEL０２６６・４１・５２８８）は２月１０日の午前１０時～午後４時に、塩尻市広丘吉田の会場でブレイ...▼市民タイムス https://t.co/EU1lSUsRMb
5,ヤマウラ,Thu Feb 07 01:49:00 +0000 2019,2/6 逆日歩日数 1日1762 高松コンストラクショングループ 0.05円1768 ソネック 0.05円1780 ヤマウラ 0.05円https://t.co/G5l7XZmjFP
6,ヤマウラ,Wed Feb 06 01:49:00 +0000 2019,2/5 逆日歩日数 4日1762 高松コンストラクショングループ 0.20円1766 東建コーポレーション 0.20円1768 ソネック 0.20円1780 ヤマウラ 0.20円https://t.co/BReC1Nia0F
7,ヤマウラ,Tue Feb 05 11:29:55 +0000 2019,3月の優待銘柄のヤマウラ（1780）は寒天が貰えるよ。#株主優待
8,ヤマウラ,Tue Feb 05 02:10:57 +0000 2019,ヤマウラ
9,ヤマウラ,Tue Feb 05 01:41:01 +0000 2019,2/4 逆日歩日数 1日1768 ソネック 0.05円1780 ヤマウラ 0.05円https://t.co/barDogWEUU
10,ヤマウラ,Mon Feb 04 13:24:11 +0000 2019,下記2社から優待です✨トランザクションタオル4枚ヤマウラ野沢菜漬け 4袋ヤマウラは母の希望で渋い選択になりました(^^;;本当は4袋あったんですが、帰った時には各所に配分済みで写真は一袋しか取れずです。… https://t.co/LibmzHbpIU
11,ヤマウラ,Mon Feb 04 11:33:04 +0000 2019,親父、人生初の株を注文。ブロンコビリーとヤマウラ。
12,ヤマウラ,Mon Feb 04 01:48:01 +0000 2019,2/1 逆日歩日数 1日1762 高松コンストラクショングループ 0.05円1768 ソネック 0.05円1780 ヤマウラ 0.05円https://t.co/2D5xduVGQ6
13,ヤマウラ,Sat Feb 02 02:33:11 +0000 2019,@2018hiroto 返信ありがとうございます😄ヤマウラだったかな？もやぁっとしたのは良く覚えてます🍺
14,ヤマウラ,Sat Feb 02 02:09:52 +0000 2019,@sheepsheepyzzz ヤマウラですね笑私もそのチラシ気になりました笑
15,ヤマウラ,Fri Feb 01 18:51:20 +0000 2019,ヤマウラから貰った高麗人参酒を開封。これを飲み終わったら次は同じくヤマウラから貰ったハーブ酒を開封。
16,ヤマウラ,Fri Feb 01 09:22:48 +0000 2019,連続下落日数９日　5942フイルコン　6155高松機械工業　8057内田洋行８日　3204トーア紡　3286トラストＨＤ　3919パイプドＨＤ　5187クリエート　7447ナガイレーベ　7958天馬　9475昭文社７日　20… https://t.co/oLextPoY5K
17,ヤマウラ,Fri Feb 01 08:00:18 +0000 2019,病院勤めの友達に「これ絶対買った方がいい」と薦められても、自分がよく分かってないから、買って値幅取れたらすぐ売ってしまうガチホしてるのは、本当に応援したい企業優待はヤマウラの人参ジュースが好きです https://t.co/0etBeuynMz
18,ヤマウラ,Fri Feb 01 01:49:00 +0000 2019,1/31 逆日歩日数 1日1762 高松コンストラクショングループ 0.05円1768 ソネック 0.05円1780 ヤマウラ 0.05円https://t.co/xqPUK1ZuFc
19,ヤマウラ,Thu Jan 31 23:34:02 +0000 2019,ヤマウラから優待到着！これが４本です😄 https://t.co/zN3sdDfjFq
20,ヤマウラ,Thu Jan 31 11:06:00 +0000 2019,ヤマウラから株主優待で選んだ、りんごとにんじんミックスジュース到着^ ^ https://t.co/GjY64H3YnY
